cat	prod_id	rev1	rev2	rev3	rev4	rev5	rev6	rev7	rev8	summ1	summ2	summ3
electronics	B002RL8IGI	Took a long time to get and when I finally got them, they didn't seem to work to well joined up (I have 3). Also, they should have come with DC chargers, they don't seem to work well with batteries, imho.	The units work fine and the setup is described in the manual works well. The one thing that my wife and I do not like is the Audio. Sounds like you are in a box. The calling button is also a bit strange. It first beeps and then you can speak. The distance it covers is very good.	Don't waste your money on these. Although if you try hard enough you can make out what the other person is saying, the audio quality is extremely poor, as is the noise cancellation (if any), and the general sound quality. I wish I had saved the boxes. I'd be sending these back.	And the problem is having to wake the kids up in the morning to go to school. They are upstairs and I used to have to trek up and down a couple of times each morning. We put one in each bedroom, 1 in the living room and 1 in the study. Problem solved.	We use it in our office to tell another employee if they have a call on hold, but that is about all it is good for. Don't bother trying to have a conversation, clarity is too poor. I didn't realize until after the fact that I should have just bought walkie talkies. At least battery life in these are good.	I searched extensively for an intercom for my large two floor home. I selected this unit (ordering three units) and regret my decision. It was very difficult set up and doesnot work that well. I wish I could get a refund as we never use it. My search continues.	It is simple to program and operate, which is just what I was looking for. I just wish I didn't have to buy a power cord separately. I am running it on batteries right now, but I am not sure how long they will last.	I've spent hours already trying to set up my network and get this system going. The engineering leaves much to be desired. Can't get it to work as advertised. The Manual is one of the least helpful such documents I've ever seen.	If you are looking for a basic intercom system and nothing fancy, then this product is for you. It is perfect for what I need it for. They do not come with cords, so make sure you have batteries. It has a good range of coverage. All units work well, and the setup was easy as described in the manual. They are simple to use and my kids love them! Great product for the price.	These intercoms are not worth the buy. Getting these set up is quite the hassle and the instruction manual is not much aid. The worst part is that the sound quality is very poor. This may have some use if a simple message is to be sent. Otherwise, don't waste your money.	This does not come with an AC charger so you have to use batteries or buy a cord separately. I think this covers a good distance and the battery life seems good. The audio is not great, it is not very clear. It is challenging to set up. Walkie talkies would work about as well.
electronics	B003U8K0N6	This power supply gets the job done but I am concerned about how hot the charger gets after a few hours. I attached a cooling device to the power supply and has controlled the heat. Buy this with caution and monitor the temperature of the power supply.	This charger ruined my laptop. I did not have any problems with my 5month old lap top until i used this charger. Buy this from the manufacture and you will be better off. Go to ACER and bet it from them.	My charger gets hot very quick. The one pictured is not the on received. The prong fits loose in the laptop. The one pictured showed a grounded plug with an OEM Brick. The one received has a 2 prong plug and has a sticker on it stating, replacement AC Adapter, Made in China.It would be nice if the pictures represent the real items.	I recently purchased this power supply and cord to replace the OEM that stopped working. I've had it approximately 1 month and works perfectly. The cord is a little shorter than the original but that isn't much of an issue for me. I would recommend this product.	I bought this for my aspire 5532. It worked for about a week and now it won't charge at all. The fit was never snug from the start, but I was hopeful. I guess you get what you pay for. Buyer beware!	The charger arrived here very quickly! I am very thankful for that because I have online classes to work on for school. The only thing is the cord has to be placed a specific way or it will not charge so that is difficult.	Purchased the product for the corresponding laptop. The adapter made so much noise that I could not charge the computer in the office. After writing the company they took appx 5 days to get back to me and suggested that I send the product back on my dime to fix the problem. Poor product, bad customer service, I do not recommend.	I ordered this for my Acer 5532. It heats up right away and I only use it to charge the laptop, it isn't plugged in for very long. After only 2 weeks it MELTED! This is horrible and dangerous!	The charger gets very hot with use, which can be quite concerning. The fit into the laptop is often loose, which makes it unreliable. Some items delivered didn't resemble the photo online. Overall, it would be best to avoid this product and buy direct from the manufacturer.	This charger gets very hot very fast and it seems a bit dangerous. It has to be lined up a certain way to work. The charger makes a bit of noise. Customer service was not helpful. A cooling device may help with the heat but this product should be used with caution. It is an affordable option.	This product is of very poor quality. This charger is not reliable. It gets very hot and is loud and may ruin your device. It does not look the product in the description and customer service is not quick to help. Overall, I definitely do not recommend this product.
electronics	B004G8EKIA	I did not go wrong when I purchased this stereo receiver. tons of power pushing my system, what an upgrade from my old one, this is a real powerhouse. It pounds. Remote control, quality crafted stereo receiver for under a hundred bucks! I thought it would be good, but did not expect this. A sweet deal!	If you want just a stereo then this will do the manual is very limited. The fan is loud and the USB player will only let you go one track at a time so if you have a 100 tracks it will take time to get there. The sound is fine and is easy to connect up.	First problem I have with this receiver is you can't set the channel presets. Also the speaker wire terminals are NOT clamps and it took me a while to screw them in. The power is good and it looks durable. I don't believe you can play the tv's sound through the receiver.	I got this to replace a 20 year old stereo I had. I went by the speaker specifications when I purchased this one. When I hooked it up, this receiver pushed my 15's more than I ever heard before without messing them up. Perfection!! I recommend this to everyone!	This Amp is very inexpensive and its performance proves its quality. First, you can't play a turntable without buying a preamp. That would be ok if the sound reproduction was good. I would have settled for good. I didn't settle and returned it; you shouldn't either.	Amazon ought to be ashamed to carry this junk on their line-up. You got enough BAD reviews to open your eyes.Just reading the murdered English in their manual is enough to tell you this is made by prisoners. Just try totune to your station on the FM - hopeless. The noisy constant fan! The unreal low price should have been a warning.Shame! Charles	This sound system is worth all the money you pay for it iv never heard bass so clear and ass loud as its going tough my 12 '' and 8 '' and two 5 '' subwoofers buy this if your looking for grate sound.	The Stereo works fantastic as Amp. for laptop Or MP3 player. Radio reception is poor. Has great range of sound adjustment. I have it in my garage, with speakers all around. Use mostly for Sirius / XM radio on laptop.	You get what you pay for with this receiver. Terrible radio reception, very noisy fan, and don't expect any help from the useless manual. It does have decent power, but I'd rather pay a bit more for a quality product.	This is an inexpensive stereo option. The manual is limited and is difficult to read, also the fan is loud. The radio reception is poor quality. The sound quality though is great, when listening to Sirius or when hooked up to a laptop.	This sound system is worth the cost. The bass is so clear and loud, the stereo works fantastic and the range of sound adjustment is great. I had a problem setting the channel preset. Overall, it's a sweet deal.
electronics	B005MZO5TA	Exactly as described, at 8 + oz. of solid metal this grip offers a stable way to hold your lightweight digital camera, without putting you fingers in front of the lens or flash. I find it works well with the Kodak PlaySmart Video camera and the Nikon S9100 point and shoot.Opteka HG-5 Pistol Handgrip Stabilizer for Point-n-Shoot, DSLR and Video Cameras	Probably the best and the least expensive stick I've ever owned and I love it.I use this with my GoPro HD Hero2. It's a bit heavy but the construct is very good. You can use this as a weapon too. lol	Bought this as part of the stabilizer rig then realized that this was easier to use alone than the rig itself. I am going to use it with a camera with an active stabilizer. Videos looked good. Will update after I use it this weekend. It looks good and is built solid.	I use this with a dual-camera mount and I like this because of the heft / weight and it stays pretty secure whether I use it with the mount or on my flip video camera or snapshot. I'd recommend this handle highly.	I was planning to use this with my D7000 + Battery Grip + 80-200 f / 2.8 lens, but when I received it, I changed my mind.It just does not look like it can handle that load. I put it on my Panasonic GF2, and it performs very nicely.Would highly recommend it for lighter cameras.	The unit is quite sturdy. I bought it to replace the pistol grip unit also featured because the pistol grip locking mechanism did seem to want to lock tight. This unit locks in very tightly and also feels professional. A great purchase for the money.	This is the 2nd stabilizer that I've purchased... one for my Sony a99 and one for my Sony a33. I can't speak highly enough about this handy little item! It's perfectly sized and the ergonomics is ideal! Two thumbs up!!	A low cost device that I bought and paired with a cell phone reduce jittery videos. Works pretty well for handheld use even when walking. The thread seemed a little recessed at first until I moved the washer flat. I recommend this product for anyone who records videos often for friends, and family especially with your cell phone.	Exactly as described. Looks good with a solid build and the unit is quite sturdy. This unit locks in very tightly and also feels professional. It is a great purchase for the money. I'd recommend this handle highly.	This stabilizer is perfect for light weight cameras and can also be used with a cell phone to help diminish jitter. You can feel the heft in this stabilizer and know that it will stay secure. It feels weighty and professional. I would say to use caution when using it with larger cameras but it is perfect for smaller cameras. Overall, it is recommended.	A great all-around, sturdy stick for cameras. It is very versatile and quite ideal for lightweight cameras especially, and this stick is highly recommended for its great price-point and overall versatility.
electronics	B00BOZCSQE	of the fact that an SD card is NOT included with this camera. It is essential (you can only take 2 pix with the camera's internal memory) and it is standard practice to include one with a camera. So add c. $25 to any advertised price that you see here. Camera itself is fine.	Sharp pictures. Impressed with the low light capability. Almost as close as my DSLR. Ample shot configuration via auto presets as well as some options. Would have loved to have a bigger display screen, or one with swiveling capability. Adequate flash for indoor and night shot settings. Sturdy and slips easily into pocket.	I BOUGHT THIS CAMERA BASED ON CONSUMER REPORTS REVIEW. IT HAS MET MOST OF THE REQUIERMENTS. ITS PICTURE QUALITY IS BETTER THAN THE CANNON 110 HS THAT IT IS REPLACING. I HAD TO GLUE A RISER ON THE ON / OFF BUTTON SINCE IT WAS TOO SMALL FOR MY THUMB	Have only used the camera a short time but am really impressed with all the features and marvel at the detail of almost any type photo situation. The low light feature is outstanding and will be very helpful in museums and other venues where flash is not allowed. Overall I love this camera.	i have high-bride, mirrorless camera which is over 700bucks, but this camera, nikon one is almost as good as my fancy mirrorless camera.. i just love it! light, easy to carry around and pictures are just great. satisfied.	Love this camera for quality picture taking and size. Very easy to use and takes professional photos. I like to take my camera everywhere and this is the perfect size. It's a great first camera to explore with before investing in a DSLR.	After looking in the Consumer Reports for a new camera I came along this one. It was number one on the list.It was a good price so I bought it. It takes a little time to learn about the choices and setting up but then it's easy to use. I love my camera.	The battery is constantly malfunctioning making the camera unusable. I was on a once-in-a-lifetime trip in Malaysia in August and this happened constantly. The on / off button is also malfinctioning, besides that is very poorly designed. What good are all kinds of features when their usability is way below par!?	This camera is easy to use and you can take it anywhere. The picture quality is generally great. Some things to note are that it does not include an SD card and there have been instances of issues regarding the on / off button, they can seem a little small. It also holds it's own against more expensive cameras. Overall this small but easy to use camera takes great pictures so it is recommended with confidence.	I like this camera for its picture taking and size. Takes professional photos and it is very easy to use. It's low light feature is outstanding and helpful in venues that flashes are not allowed. I love this camera.	If you are a beginning photographer and wan good pictures i suggest buying this Nikon camera. it does not come with an sd card which is not cool for the money i spent and they can be pretty pricey. If you need low light capability on your camera , than this is the one for you it seems to have a feature for every scene or situation
electronics	B00DB94FB2	The only thing I would like to see is an aux cord when I don't want to charge my phone, but It's not a huge deal. The sound is great, and worth the money. The remote works with your phone, and that's precisely what I wanted	you need to buy an adaptor for Ipod Nano's so it was disappointing when my son opened it up on Christmas and could not use it for his Ipod Nano. It does not state that anywhere on the box or when I ordered it.	Love, love, love the ability to save multiple preset radio stations, and the sound is clear, crisp... amazing! It almost makes waking up a pleasure. Another feature I never thought I wanted, but really appreciate, is the ability to set the brightness of the clock readout. Brilliant!	The sound of the radio is of real quality. I also like having the two separate alarms and the alarm is not obnoxious yet still wakes us up. My wife charges her iphone on it regularly and works out well. We like the Sony so much I got one for my son and his wife for a Christmas present	I was looking quite awhile to locate a decent sounding radio / iPod player which would also charge my iPod. This is perfect for our family. It's a lot smaller than I thought, which is good. And when we update to an iPhone 5, there is a $5 adapter to get so we can still use this radio. Perfect!	As always, Sony has a 'winner' in this combined am / fm radio and docking station. Great sound, looks good and wife is very pleased as she put it in her craft work area. Finding the combo of am / fm wasn't easy either.Lots of fm only units. This is a great product.	My husband really like this speaker... LOVE IT! Its so easy to operate by setting the alarm.. I like the way when you put your iphone 4s to the dock its charge at the same time while you are you using it...! Great product	While I like the Dream Machine I don't know why there's so much static. It's nearly impossible to get a couple of my favorite radio stations without constant static in the background. My other radio doesn't do that. I've even tried different locations for it. That's a big disappointment and shortcoming of the product.	This FM/AM radio, iPhone docking station and alarm clock is a perfect combination! The sound is amazing, the alarm clock is not annoying, and the design looks great! It would be nice to have a place to use an aux cord and certain apple products require a $5 adapter to use the docking station but other than that, this product is fantastic!	This is a great product. It has amazing sound quality, and the dual-band feature is nice. I love the fact that it charges my device while it's docked. Not only is this thing functional, but it also looks great and doesn't take up a lot of space. Overall, I would advise buying this if your needs call for an awesome speaker that doubles as a charging station.	This is exactly what I've been looking for! It has great sound quality and it's really easy to dock my iPhone in it (it charges my phone at the same time! Bonus) The alarm is easy to use and does it's job. Some iPhones and iPods will need an adapter, so make sure to check that out first.
health_personal_care	B00028QA72	I wanted to get rid of deodorants after reading about the hazards of the ingredients used in them. These crystals do the job. No they do not keep you from sweating. But, they do take care of the odor. Use as directed... after showering and such. I have not bought deodorant in years. These rocks last a long, long time...	This does indeed work and if you are not a heavy perspirer it will be effective for several days. Don't know for sure how long it will last as I've not had mine that long, but for sure it's cheaper than the stuff we've been using for years.	This stuff WORKS. It is slippery and difficult to hold on to when it is wet, so I wasn't surprised when I dropped it on the floor and broke it into four jagged pieces. I'll buy the stick next time.	I was very skeptical about the effectiveness of crystal deodorants. I am very pleased with the results! This works better than any deodorant I have ever used. I will never go back to traditional deodorants. This was money well spent.	I was somewhat skeptical at first in hearing about this product, but now I'm a believer. I purchased a crystal a year ago and it is still working. A little water activates the rock and then you apply it like a regular stick deodorant. I can't believe it works so well and lasts so long.	The product is fantastic, I would highly recommend it to anyone who suffers with excessive persperation issues or B.O. It will eliminate both after a few days use. No kidding. However don't buy from this seller, mine arrived broken completely in half and I contacted the seller for a replacement and they would not return my calls.	I love this product! I use it and it doesn't make me smell like cologne or perfume but it keeps me smelling good (like me!) all day. It does not irritate my skin and it does the job. It also lasts so much longer than the stick deodorant I used to use. Better product for less money! A real find!	I have been using this product for over 10 years. It works much better than common over the counter deodorants and lasts much longer. I have never had a odor issue using this product no matter how hot or sweaty I got. Great stuff... the larger 5 oz purchase is the most economical.Highly recomend.	this product is good alternative to deodorants. Crystal lasts a long time. the major drawback is that it is somewhat easy to drop the product and it shatters very easily. overall the product withstood the test of time	This stuff works, fantastic product. I used to doubt it at first when I heard about it, but now I believe in this product. It is still working after purchase about a year ago. It's cheap, keeps me smelling good and doesn't irritate my skin. It can be difficult to hold on to and slippery, but It is money well spent. I highly recommend it.	Economically priced with long lasting results and truth that a little goes a long way, this crystal rock deodorant is a great deal.  Users are pleased with the crystals ability to eliminate body odor even for heavy perspirers. Recommended for those who want to get away from the traditional stick, though be careful for if dropped it will shatter so also may be best purchased in-store versus ordering online.
health_personal_care	B000N245Y2	I'd like to give it a review but no power adapter with cord and so on was included. I got a plug adapter for international use, but nothing to power the unit. I have no idea how good it is and am returning it.	Don't let the 1980's packaging fool you, this is an amazing little machine. The sound is robust, and the ability to dial in the mixture of rain and water effects is outstanding.Now... when will they release an App so I can use it on my phone at the office...	We've used Marpac machines before and they were excellent; but this Travel machine didn't make the grade. Sound not loud enough for us and the construction didn't seem any better than the $20 ones we've used. This was $50 +. We returned it to Amazon.	This product does not drown out sound but is a sleep conditioner. It was purchased for my grandaughter who is going on a mission trip to Africa (it takes batteries) and to college in NC. It is a perfect traveling size.	This machine is small enough to travel well. It only makes one type of sound (kind of like rain) so all you can adjust is the intensity and volume. It shorted out and would stop and start which wakes you up defeating the purpose. It is too expensive for having no sound selections and being cheaply made.	We have a full-size analog model of the Marpac Sleep Mate sound conditioner, and have used it for years at home, but it's too bulky to pack. This model is compact, and sounds pretty much like the original. There is no repeating 'loop' of sound to drive you crazy.	We've had this for about two months and use it in our baby's nursery. I like it so far. The sound fills the room well. There aren't a bunch of options in sound, but that doesn't matter at all to me. The unit is small and does the job well. I'd recommend it.	My husband and I use a white noise machine in our condo, and love it. When we traveled, we never felt we slept as well without that background noise. We have tried the free Apps on our phones, but they are not as good as this.	a good product, compares to the original very good, for the fraction of the size. very convenient when traveling or living in the dorm, since the space is an issue there. there was no power cord, so that should be kept in mind. much better than nose generating apps.	This sound machine is small, battery powered, and compact.  It does not come with a power adapter, so be prepared with batteries wherever you plan to use it.  There is only one sound programmed into the machine – a sound mixture of rain and water.  This is great to aid sleep, relaxation in the office, or nurseries.	This sound machine is the perfect size for traveling. It is quite compact, and it can be powered with the adapter or batteries. It offers a small variety of rain and other water effects, and will be loud enough for most people. If you have a larger room or a super noisy environment, the volume might not be high enough for you.
health_personal_care	B003HT9W32	I bought this monitor as a newcomer to heart rate monitors. It is easy to use right out of the box and makes working out more enjoyable - you can make sure that you are working hard enough to improve, but not too hard. Very good value.	It's my first heart rate monitor. Very useful. I always run with it to control my pace. The problem is when I run more then 1 hour because I don't see the seconds as it has only 4 digits on the display.	Extremely easy to use, only one button. Seems to be fairly accurate. Has a backlight and can beep to warn you if you fall out of a target heart range that is completely programmable. However, the battery is not replaceable and the screen scratches easily.	I was disapointed to find the booklet with it didn't help with any instructions on use. But after checking the manual on the internet I was able to set it up and use it. It is much easier than others I have purchased. This is what I was looking for. Ease of use.	This is a good monitor if you have no need for the fancy training models. Beginner or non-competitive runners should stick to basic types like this. The Polar monitors I have had like this are well-made and easy to use and this is no exception. I am coming off a long layoff and plan to use this to work back into shape without risking overtraining.	If you're looking for just a heart rate monitor (it is waterproof and good for swimming) then this is for you. There aren't any bells and whistles at all. Straight forward, heart rate, time of exercise and that's it. The log only stores your last workouts data, you need to record it before you start another session.	This was very well-rated on consumer reports. I really like that you can plug in your target heart rate, and it has an audible alert to let you know when you're there. The display is easy to read and it's light-weight.	I ordered and Polar FT2 and it was confirmed after the order was processed. When I got the email for confirmation, it said FT1. They did the old bait and switch on me! I immediately returned it and very upset with the order after going through a long process of doing research for a HRM. Very dissatisfied!	very good heart monitor if you don't need advanced features, that would be used mainly by professionals.  very easy use. the drawbacks are, bad or no included manual, but manual is accessible on the internet. and only four digits on the display, so if you run more than an hour that could be an issue. overall recommended	This heart rate monitor is very user friendly for beginners.  Very easy to use straight out of the box. However, this product comes with an instruction booklet and internet instructions if you need help with initial set up. You can program your target heart rate and there is an audible beep when you are in or fall out of target range. Very easy to read display which can also has a backlight. The only drawback is the log will only store the last workout data.  Overall a very nice beginner heart rate monitor.	This is a good monitor, it is easy to use and well-made. The product is for you, if you are in need of a heart rate monitor. It is fairly accurate and warns you should in case you fall out of a target heart range. The battery is not replaceable and screen easily scratches.
health_personal_care	B004OQQLTU	Regretfully the package arrived in a plastic bag with a note on it telling us that the Post Office cares. The bottle had been completely crushed in bag it was sent in, so we never got to use it.The bag of liquid did smell great though!!!	I tried this on both a cotton t-shirt, and a polyester dress shirt, and it worked quite well, and very quick; almost effortless. Just spray it on, and smooth it with your fingers.The product says it can be used in the place of starch, but my wife tried it when ironing, and it didn't help at all.	i WOULD NOT RISK BUYING THIS ITEM. WAS DELIVERED TODAY. THE PACKAGE WAS COMPLETELY SOAKED AND THERE WAS NOTHING IN ANY SPRAY BOTTLE. I WILL BE ASKING FOR FULL REFUND.Amazon gave me a full credit when I chatted with them. I can't review since I didn't get any to try.	I really do not like to iron. I still have a scar from my last attempt. I love this product. I just spray onto my cotton shirt and smooth, then allow to dry about 30-60 minutes. There is an obvious reduction in wrinkles. No, it is not perfect, but it is presentable.	My wife and I tried this on a few items but it didn't work that great. I still have a lot of the bottle left so I'll keep on trying, but if we want it done right we still turn to the iron first. I do, however, really like how it takes away the static electricity buildup.	I love this stuff. It works on every types of clothing from jeans to tshirts and dress shirts. Spray a little on an work the wrinkle out with your hand! Just don't overspray. We take this on vacation so we don't have to waster our time ironing!	Woohoo what a great product. A few sprays and the wrinkles disappear from your teeshirts and dress shirts. It has a little trouble with clothing like dress pants and also it didn't work on removing wrinkles from my curtains. That said, this baby has saved me hours of ironing, and I'm super happy with this purchase.	This is a wonderful wrinkle release product. Just spray it on your fabric, any fabric smooth the product in with hands smoothing out wrinkles and let dry. Goodbye iron. I will definitely take it on my next vacation. It removes wrinkles and makes clothes smell fresh, I love it.	While it's not full proof, this spray is great at reducing the number of wrinkles in cotton and polyester materials. It's less effective on thicker materials. It's quick and easy to use, and it has a nice scent. It's a good thing to bring on vacation to freshen up packed clothes. Just be aware, the bottle is prone to leaking!	This is an awesome wrinkle release product, with a nice aroma. When applied, wrinkles disappear from your clothes. The package arrived in a bad condition, it's not perfect, but quite presentable. I love it.	When my bottle arrived, it had leaked a bit in the bag, but I still had about 3/4 to use. It smells amazing! I have always really hated ironing, so it's a good substitute for that, but only on my shirts. Any work pants that have wrinkles, I still have to turn on the iron. However, it really seems to reduce static when ironing, so it's still handy that way! Overall it's not as great as advertised, but it's still pretty useful. Order with caution though, leakage seems to be a common occurrence.
health_personal_care	B005H86LZ8	What else can be said..... this product is revolutionary. I cannot believe something so simple could be so effective and I wonder why I didn't see this myself! Kudos to the inventor. This magnet is strong and putting your glasses through the space while working is easy and just as easy to retrieve them when needed. Necessity is the mother of invention....	I saw this product on SHARK TANK and wanted it then. When I ordered it and tried it I was very impressed. The magnet is super strong and you can place it anywhere on your clothing. I bought 2 and will order more for Christmas gifts.Ellen	I wish I could use this, but my cardilogist said no.... even though I have a fairly new, high-fangled pacemaker. He doesn't have any problem with me having a cell phone in my shirt pocket, but said this magnet is just too powerful.	These little guys are amazing,, the magnetic is very strong,, your glasses will not fall out when bending over.. yeah maybe a crystal does fall out so what,, just glue it back in and it stays,, you'll always know where your glasses are,, love mine	I like it, keeps the glasses handy but when you bend over, they can fall out. So good idea, but has its limits. Perhaps if it didn't stick out as far, that would hold the glasses tighter.	ReadeRest Eye-Glass Holder-Magnet broke off after one week and I have no phone number to call the company. For the week I had it, it worked fine on my shirt but one of the front round magnets separted from the glass holding piece. A piece of junk!	Fantastic product! Ive had to order more now that ive shown to everyone. They all want one. Can be placed anywhere on your clothing and blends right in. Had people think it was part of the clothing. great gift / stocking stuffer	Great Product! Very Strong Magnet that works in holding and keeping your glasses secure. Well worth the price that I paid for it... First showing of this product was on 'Shark Tank' and it has lived up to expectations!	This product is innovative and works! It keeps your glasses with you and the strong magnet lasts. Everyone that I've shown this to decides that they need one too. The only problems are that the small pieces can occasionally fall off, and the glasses don't always stay if you bend over. Otherwise, this is a great product that is especially useful if you tend to misplace your glasses.	This lived up to expectations after the product was featured on Shark Tank. The magnet is very strong, and will work anywhere on clothing. Glasses won't slip or fall. However, those with pacemakers should avoid due to the strong magnet. Overall, recommend.	These magnetic eyeware retainers attach firmly to your clothes and keep your glasses within reach when you're not wearing them. Though they normally keep a strong grip, it is possible in some circumstances for your glasses to fall out. Also, I am unsure if the product will last very long.
health_personal_care	B005JS7KME	Got these for my 9-year-old who has really bad foot odor. I really had little confidence that these would work but needed to try something- ANYTHING- to help. And lo and behold they actually work. So well that I ordered another set for a second pair of shoes.	I love this product... 100% natural AND eliminates foot odor! While it appeared to be smaller than my 8.5 shoes, the insole fits perfectly into heels, boots, flats and running shoes. Very impressed! It has worked wonders so far! Can't wait to put this product to test this summer!	I have thick peeling, itchy skin on the bottom of one foot. I had tried everything to get rid of it. The final trick were these inserts along with slathering coconut oil mixed with athletes foot oil & oregano oil two times a day. FINALLY, normal soft feet!	The insoles fit comfortably into my shoes. I love that they are discreet and thin. I no longer have to worry about foot odor or about my shoes stinking. I definitely can see where my shoes will have a longer life by using these insoles.	Product is OK. It doesn't seem to work as well for me as was advertised. It does serve to keep your show a little dryer, but doesn't seem to work all day for me. I wouldn't recommend it as there are other options that do the same but cost less.Ok	Im sure if I were to put them in my tennis shoes they would probably fit perfectly. I am wearing them in my croc I have to wear for work. Thay are to thin width wise to really make a difference bc they tend to slide around.	This is a fantastic product that I would recommend to anyone who wants their feet to feel cooler, more comfortable, less sweaty and ultimately less smelly! They are so effective I use them in several pairs of shoes. I'm a very happy customer, thanks so much Zederna!	These insoles are so thin that I can even wear them in my pumps. They look SO much nicer than odor-eaters and work way better too. I highly recommend them. I accidentally ordered a men's 9 instead of a women's 9. It was huge but very easy to trim down with scissors. Enjoy!	This is an excellent product! Just as advertised, it eliminates foot odor and on top of that the insole is so thin it can be used in multiple types of shoes including heels. Very comfortable and well worth the price to have soft odor free feet after wearing shoes!	While they are a little thin which can be an issue, the Insoles work really well at keeping odor away and fits really well in most shoes. While cheaper ones do exist on the market, these ones have been great at battling the issues i had before using these insoles.	These odor-absorbing insoles work very well! The thin insoles fit well into many kinds of footwear and they are also easy to trim down if they are too large. They help to absorb odor and wetness all day. , and may even extend the life of my shoes.
health_personal_care	B008Z8W714	I didn't know what to expect when I ordered this, but I am pleasantly pleased. The unit fits perfectly into my Zippo case, and is easy to fill and use. Once in a while it won't light but if you blow into the flame area it will work the next try.	I think Zippo over charges and I wanted to try off brand. I must say I have been pleasantly surprised and my wallet thanks me. Don't get me wrong I love classic Zippo lighters however butane torches are clean burning and are great for EDC since they have almost zero odor. The torch also adjusts very nicely so you can fine tune your preference.	got for a christmas gift and i cant say how awsome this insert is i love that the fuel wont just evaporate the flames a bit big at first and had to urn screw as how the little lever wouldnt go over far enough but again no biggy awsome product i challenge you to blow this thing out	i bought this product expecting it to last about a week, that was almost a year ago. i want to share just the facts: it plastic so don't go beating it aroundits a little small so some tape is needed to build it up and hold it in placeif you clean it right it will last for a long time	I like carrying my classic Zippo and not tainting my cigars with lighter fluid. Much cheaper to get a Zippo and this insert than to buy a Zippo Blu. I also prefer the electric ignition to the flint wheel on the Zippo Blu.	I love the old style Zippo but was having difficulty with the standard fluid and carrying the lighter around in my pocket. This made it very convenient and it's a cool 'novelty' item. I still keep most of my Zippos original (standard insert), but it's cool to have a few of these with the 'butane' conversion kit...	It did not fit properly. I then removed it and re-inserted original Zippo insert. To my dismay, cap of Zippo no longer closed properly. (Apparently, attempting to get the Thunderbird insert into the Zippo and close the cap caused the hinge to deform, rendering the Zippo unusable). Disappointing, to say the least!	Thank God I found this. It works on Butane, and it will hold fuel longer than a week. Stupid Zippo, with their flints, and their packing, and their wicks. They make a version of this with a flint, do not buy that one, buy this one. It works great. Stay away form Z-plus.	Great insert for the price, works well with my Zippo case. It uses butane, which is cleaner burning as well as convenient. Thunderbird is a fantastic alternative to the more pricey Zippo inserts. It holds a big flame, too, and it's easily adjustable.	This butane conversion allows for the case of a classic Zippo to clean burning butane lighter.  It allows for flame height adjustments and holds its flame well.  It is a durable and reliable product that holds up well to wear and use. While this is not a licensed Zippo product it is important to note that its fit is not guaranteed.	When I ordered this, I didn't know what to expect. I'm pleasantly surprised. It's plastic, but very convenient and the unit fits very well into my Zippo case. You can fine tune your preference as the torch adjusts very nicely. It works great. I also had issues with closing the cap of Zippo.
health_personal_care	B00GW5NX88	Immediately curbed my RLS. Feels great to get some sleep! Also has produced a noticeable improvement in my girlfriends mood over the last week. Cant recommend this stuff enough. Many people are deficient in Magnesium these days which can cause a whole host of problems. This pure product is definetly the most affordable and effective way to supplement magnesium daily.	It is a very good dissolving powder, i noticed that I feel much more calm and rested since using a teaspoon a day for the last 2 days... I cant give it 5 stars because of the short time Ive been taking it, but I will update this review in about a week.	I use this in conjunction with N-Acetyl L-Cysteine and TUDCA for the liver, but it has been GREAT for my arthritis! I definitely will continue to use this product. I currently take 3327 mg x d, so it is reasonably priced. Again, great product!	I purchased this to put in my Soylent mix, and I couldn't be happier. Like other supplements I've ordered from this company, the product is well shipped and the resealable bag is easy to store. I also like how concentrated it is, and how little I need to use to supplement my diet.Couldn't be happier.	I have been taking Magnesium supplements for a number of years. Magnesium Citrate seems to work best for me, and I like being able to customize my own dosage. No fillers, and no artificial flavoring, excellent packaging, and a quality product.	I am not pleased with this product. I ordered this because it was the same ingredient in a similar product, 'CALM' magnesium citrate powder. However, this product is not what I expected. It does not taste or fizz like the CALM powder. This was an attempt to order in bulk and save money, but I failed with this one.	I like this product, but not sure how it's as strong as it says it is. I have noticed that I have better results from the Calms magnesium than taking double the dose of this product. I don't get the upset stomach from this like what's common for a citrate form, so maybe it's being absorbed better.	The BulkSupplements Pure Magnesium Citrate Powder dissolves easily in liquid and works especially great in my natural smoothies that I mix in a blender, and can also work great with juices. A much better deal than magnesium citrate in liquid solution form, especially the 1Kg bag.	this magnesium supplement is very good for the money. helps to improve the mood, to make sleep better. the price is a better deal than the competitor products. especially if you buy in bulk. one thing, it does not taste like a CALM product, so you should keep that in mind. recommended.	This product has been helpful for my everyday aches and pains. I found that I can easily mix it into my morning smoothies, juice or even plain almond milk without any weird taste or fizzing. The product came very well packaged and I love the resealable bag for easy storage.All in all a great product.	The BulkSupplements Pure Magnesium Citrate Powder is a unique product in its own right. as it does dissolve well, it has a lot of health benefits such as calming down , arthritis. as it comes in a liuid form i prefer the powder for some weird reason. With it being so affordable, ordering this in a large amount is preferred for me and lastly with it being so  concentrated it can last for a long time
